,Costs
0,50677.0
1,50452.0
2,50371.0
3,48904.0
4,49858.0
5,49534.0
6,49210.0
7,50488.0
8,51235.0
9,50317.0
10,50461.0
11,50947.0
12,51118.0
13,52999.0
14,52774.0
15,48481.0
16,49678.0
17,49570.0
18,52450.0
19,49696.0
20,52432.0
21,51271.0
22,51784.0
23,50137.0
24,51460.0
25,50506.0
26,51253.0
27,47689.0
28,52180.0
29,49849.0
30,49543.0
31,49867.0
32,50821.0
33,48265.0
34,51649.0
35,50758.0
36,50524.0
37,48724.0
38,50992.0
39,48463.0
40,49642.0
41,49696.0
42,50290.0
43,50074.0
44,50533.0
45,50326.0
46,49786.0
47,49462.0
48,52126.0
49,50911.0
50,49228.0
51,50578.0
52,49435.0
53,49759.0
54,50470.0
55,48256.0
56,48544.0
57,49687.0
58,51757.0
59,50290.0
60,51460.0
61,49093.0
62,53044.0
63,48463.0
64,50488.0
65,52630.0
66,52297.0
67,50776.0
68,51037.0
69,51298.0
70,50569.0
71,48697.0
72,52009.0
73,50074.0
74,49399.0
75,51118.0
76,49381.0
77,49795.0
78,51487.0
79,49012.0
80,50344.0
81,49984.0
82,50911.0
83,52270.0
84,50785.0
85,49831.0
86,49732.0
87,50308.0
88,51451.0
89,50533.0
90,49030.0
91,50785.0
92,51865.0
93,48499.0
94,50146.0
95,51667.0
96,51748.0
97,50272.0
98,51649.0
99,49138.0
100,51433.0
101,50929.0
102,50722.0
103,51667.0
104,50992.0
105,52171.0
106,50821.0
107,51757.0
108,50380.0
109,50128.0
110,49669.0
111,50470.0
112,50317.0
113,50614.0
114,51892.0
115,51235.0
116,50362.0
117,50713.0
118,50020.0
119,50686.0
120,49399.0
121,51028.0
122,48823.0
123,51280.0
124,49705.0
125,50605.0
126,47959.0
127,51028.0
128,48211.0
129,50596.0
130,50452.0
131,50209.0
132,48895.0
133,49966.0
134,50857.0
135,49795.0
136,51055.0
137,50704.0
138,48400.0
139,49696.0
140,48697.0
141,50164.0
142,52657.0
143,49147.0
144,48661.0
145,48490.0
146,50398.0
147,49237.0
148,50029.0
149,49723.0
150,51550.0
151,50497.0
152,49597.0
153,47788.0
154,49363.0
155,49579.0
156,50497.0
157,48697.0
158,49462.0
159,50515.0
160,49795.0
161,51154.0
162,50686.0
163,50290.0
164,49264.0
165,50479.0
166,50128.0
167,49849.0
168,49849.0
169,48850.0
170,49921.0
171,50200.0
172,49165.0
173,51262.0
174,48562.0
175,49372.0
176,52108.0
177,49849.0
178,50704.0
179,50038.0
180,50659.0
181,48400.0
182,49840.0
183,50272.0
184,50110.0
185,49129.0
186,49156.0
187,50110.0
188,50173.0
189,49543.0
190,48868.0
191,51118.0
192,52315.0
193,50794.0
194,49624.0
195,50947.0
196,49615.0
197,49066.0
198,49588.0
199,50560.0
200,49138.0
201,48337.0
202,51424.0
203,50839.0
204,50857.0
205,49786.0
206,49309.0
207,51757.0
208,50416.0
209,49552.0
210,50776.0
211,49300.0
212,51370.0
213,50551.0
214,49561.0
215,51010.0
216,51775.0
217,50335.0
218,52252.0
219,50155.0
220,49858.0
221,51586.0
222,51055.0
223,51100.0
224,50254.0
225,49822.0
226,49957.0
227,50110.0
228,52468.0
229,49795.0
230,50290.0
231,49777.0
232,50650.0
233,49525.0
234,49687.0
235,51001.0
236,50182.0
237,49975.0
238,48778.0
239,49615.0
240,48643.0
241,49381.0
242,51514.0
243,49354.0
244,49867.0
245,51874.0
246,47518.0
247,49417.0
248,49993.0
249,50155.0
250,50551.0
251,50884.0
252,49993.0
253,50866.0
254,49246.0
255,49570.0
256,50533.0
257,48229.0
258,50596.0
259,50209.0
260,49471.0
261,51811.0
262,48328.0
263,50695.0
264,50083.0
265,51226.0
266,52027.0
267,48292.0
268,49534.0
269,50848.0
270,52594.0
271,50974.0
272,50461.0
273,48517.0
274,49012.0
275,51010.0
276,48643.0
277,50668.0
278,50776.0
279,50020.0
280,51271.0
281,49741.0
282,48571.0
283,49345.0
284,50146.0
285,49057.0
286,48985.0
287,51361.0
288,48814.0
289,49669.0
290,52396.0
291,49471.0
292,50785.0
293,51055.0
294,49345.0
295,51712.0
296,48760.0
297,50497.0
298,50245.0
299,50731.0
300,49201.0
301,48499.0
302,51442.0
303,47806.0
304,49372.0
305,48895.0
306,52495.0
307,49435.0
308,49831.0
309,47554.0
310,49120.0
311,50155.0
312,51082.0
313,50695.0
314,49210.0
315,49822.0
316,48823.0
317,51424.0
318,49606.0
319,50371.0
320,48229.0
321,48229.0
322,49786.0
323,52144.0
324,50740.0
325,49165.0
326,51109.0
327,49840.0
328,50416.0
329,50119.0
330,50434.0
331,49318.0
332,49687.0
333,50155.0
334,49606.0
335,49282.0
336,49858.0
337,49165.0
338,49714.0
339,50182.0
340,50443.0
341,50371.0
342,50020.0
343,50650.0
344,50722.0
345,51001.0
346,51757.0
347,51280.0
348,48634.0
349,52441.0
350,51901.0
351,51802.0
352,51397.0
353,49741.0
354,50857.0
355,51487.0
356,49471.0
357,49633.0
358,50281.0
359,49453.0
360,52378.0
361,49678.0
362,51109.0
363,51820.0
364,50236.0
365,48337.0
366,52414.0
367,51217.0
368,49453.0
369,50119.0
370,50020.0
371,48076.0
372,48895.0
373,51109.0
374,51100.0
375,50218.0
376,49921.0
377,51082.0
378,48706.0
379,50947.0
380,51154.0
381,49282.0
382,48868.0
383,51100.0
384,51442.0
385,52180.0
386,51838.0
387,50695.0
388,49489.0
389,49525.0
390,48949.0
391,50398.0
392,53224.0
393,48283.0
394,52315.0
395,49813.0
396,51109.0
397,51496.0
398,51217.0
399,51586.0
400,49210.0
401,51091.0
402,50479.0
403,50389.0
404,51109.0
405,51640.0
406,49399.0
407,48877.0
408,50164.0
409,50830.0
410,50218.0
411,51874.0
412,48256.0
413,48571.0
414,49273.0
415,50740.0
416,48148.0
417,49804.0
418,50965.0
419,49552.0
420,49957.0
421,50524.0
422,49174.0
423,48958.0
424,49804.0
425,50713.0
426,52090.0
427,50398.0
428,48283.0
429,49561.0
430,51109.0
431,51892.0
432,50398.0
433,49750.0
434,51757.0
435,50479.0
436,50956.0
437,49327.0
438,51001.0
439,49930.0
440,50227.0
441,49921.0
442,49588.0
443,50164.0
444,49255.0
445,49246.0
446,51694.0
447,49750.0
448,51982.0
449,50173.0
450,50182.0
451,48589.0
452,50884.0
453,50767.0
454,47527.0
455,49939.0
456,51649.0
457,51181.0
458,51001.0
459,51046.0
460,49318.0
461,49867.0
462,49750.0
463,51217.0
464,49183.0
465,51928.0
466,50920.0
467,50146.0
468,49849.0
469,48247.0
470,50353.0
471,51793.0
472,50110.0
473,50632.0
474,50056.0
475,50236.0
476,49471.0
477,50308.0
478,49057.0
479,49525.0
480,51307.0
481,48571.0
482,50299.0
483,50740.0
484,50308.0
485,47806.0
486,50353.0
487,49552.0
488,50839.0
489,50965.0
490,51163.0
491,50281.0
492,49318.0
493,52882.0
494,51631.0
495,48652.0
496,50578.0
497,48220.0
498,50416.0
499,50686.0
500,51541.0
501,48778.0
502,50632.0
503,51226.0
504,50272.0
505,49399.0
506,50389.0
507,50020.0
508,48598.0
509,49786.0
510,49804.0
511,48472.0
512,49651.0
513,49597.0
514,49201.0
515,50272.0
516,50866.0
517,50596.0
518,51604.0
519,50281.0
520,52306.0
521,50749.0
522,50173.0
523,49570.0
524,48058.0
525,49651.0
526,48823.0
527,50200.0
528,51334.0
529,50956.0
530,49678.0
531,50713.0
532,51055.0
533,51127.0
534,49849.0
535,49885.0
536,50011.0
537,53890.0
538,50605.0
539,50713.0
540,48931.0
541,50497.0
542,51496.0
543,50614.0
544,52855.0
545,50371.0
546,49354.0
547,49066.0
548,49102.0
549,49975.0
550,49786.0
551,49534.0
552,49885.0
553,50470.0
554,49804.0
555,49930.0
556,51487.0
557,50560.0
558,50641.0
559,50794.0
560,50830.0
561,50227.0
562,52189.0
563,51622.0
564,49930.0
565,51001.0
566,50560.0
567,48697.0
568,50389.0
569,50965.0
570,47689.0
571,52126.0
572,51379.0
573,49201.0
574,51271.0
575,49669.0
576,50497.0
577,49894.0
578,50326.0
579,50857.0
580,50632.0
581,49228.0
582,49408.0
583,50200.0
584,49660.0
585,49201.0
586,49174.0
587,49831.0
588,49804.0
589,52234.0
590,47761.0
591,50173.0
592,49417.0
593,50047.0
594,51802.0
595,51199.0
596,50128.0
597,51406.0
598,50155.0
599,50425.0
600,49228.0
601,50281.0
602,50596.0
603,48409.0
604,49201.0
605,49804.0
606,50353.0
607,47977.0
608,48463.0
609,51514.0
610,50074.0
611,50020.0
612,49165.0
613,47887.0
614,49156.0
615,51424.0
616,49966.0
617,50704.0
618,50794.0
619,50929.0
620,49444.0
621,49885.0
622,48868.0
623,50479.0
624,50767.0
625,50119.0
626,49084.0
627,49489.0
628,51379.0
629,48679.0
630,48643.0
631,50911.0
632,49480.0
633,52027.0
634,48670.0
635,51424.0
636,49750.0
637,50875.0
638,48778.0
639,47995.0
640,50992.0
641,50128.0
642,48229.0
643,49021.0
644,50749.0
645,49930.0
646,51982.0
647,52792.0
648,50101.0
649,50812.0
650,49966.0
651,49705.0
652,51757.0
653,50173.0
654,50695.0
655,49984.0
656,48886.0
657,51307.0
658,50164.0
659,48040.0
660,50209.0
661,50155.0
662,51460.0
663,50002.0
664,48400.0
665,50092.0
666,49165.0
667,49579.0
668,49840.0
669,49867.0
670,52234.0
671,50344.0
672,50344.0
673,49885.0
674,50605.0
675,51937.0
676,50632.0
677,49525.0
678,48742.0
679,50938.0
680,48688.0
681,48814.0
682,49624.0
683,50155.0
684,51280.0
685,49066.0
686,50488.0
687,51073.0
688,51271.0
689,48283.0
690,52936.0
691,49264.0
692,50317.0
693,49237.0
694,47617.0
695,49903.0
696,48787.0
697,50533.0
698,51163.0
699,48472.0
700,50299.0
701,50254.0
702,51280.0
703,51082.0
704,51181.0
705,50569.0
706,47230.0
707,49696.0
708,49930.0
709,49138.0
710,50407.0
711,51568.0
712,51028.0
713,51082.0
714,49534.0
715,50245.0
716,51712.0
717,48787.0
718,49804.0
719,49921.0
720,50416.0
721,49588.0
722,51478.0
723,48805.0
724,48229.0
725,50578.0
726,50110.0
727,49489.0
728,49669.0
729,49228.0
730,50407.0
731,50362.0
732,49759.0
733,49345.0
734,48418.0
735,51100.0
736,50173.0
737,49993.0
738,50362.0
739,49381.0
740,49903.0
741,49831.0
742,50281.0
743,48814.0
744,50263.0
745,49876.0
746,50965.0
747,49939.0
748,49732.0
749,50137.0
750,49318.0
751,50308.0
752,51667.0
753,48292.0
754,50965.0
755,51190.0
756,49561.0
757,47734.0
758,48679.0
759,49075.0
760,49894.0
761,49633.0
762,48292.0
763,49228.0
764,50425.0
765,50515.0
766,48616.0
767,50299.0
768,49309.0
769,50425.0
770,51649.0
771,48346.0
772,49885.0
773,49651.0
774,50074.0
775,47275.0
776,50452.0
777,50803.0
778,50254.0
779,49552.0
780,50173.0
781,50425.0
782,50425.0
783,48040.0
784,49606.0
785,49471.0
786,50371.0
787,49345.0
788,48976.0
789,51298.0
790,50083.0
791,50659.0
792,50704.0
793,50299.0
794,50146.0
795,50299.0
796,52432.0
797,51361.0
798,48337.0
799,50470.0
800,50326.0
801,50650.0
802,49606.0
803,50848.0
804,49120.0
805,48391.0
806,50578.0
807,49444.0
808,49228.0
809,51352.0
810,50452.0
811,50416.0
812,50263.0
813,50173.0
814,50578.0
815,49849.0
816,51829.0
817,52432.0
818,48877.0
819,51028.0
820,51568.0
821,50092.0
822,50623.0
823,49651.0
824,51163.0
825,50650.0
826,50686.0
827,49255.0
828,49516.0
829,48220.0
830,50236.0
831,51244.0
832,48355.0
833,50416.0
834,51001.0
835,50074.0
836,49309.0
837,50335.0
838,50713.0
839,51694.0
840,50641.0
841,50434.0
842,51640.0
843,51226.0
844,49417.0
845,49930.0
846,48076.0
847,49831.0
848,50443.0
849,48949.0
850,48238.0
851,48589.0
852,50020.0
853,49192.0
854,49129.0
855,49093.0
856,50524.0
857,52171.0
858,50452.0
859,51082.0
860,48958.0
861,52387.0
862,49696.0
863,51064.0
864,50353.0
865,51010.0
866,52549.0
867,50002.0
868,49246.0
869,50380.0
870,49498.0
871,50155.0
872,48517.0
873,51028.0
874,49516.0
875,49030.0
876,51658.0
877,50731.0
878,49228.0
879,50461.0
880,49732.0
881,49120.0
882,50218.0
883,50722.0
884,51019.0
885,49831.0
886,48130.0
887,49831.0
888,48004.0
889,51010.0
890,52234.0
891,50632.0
892,48670.0
893,50605.0
894,51037.0
895,50254.0
896,49993.0
897,49885.0
898,50029.0
899,50659.0
900,50092.0
901,48472.0
902,50479.0
903,49552.0
904,49822.0
905,51748.0
906,49804.0
907,51217.0
908,46528.0
909,51028.0
910,51136.0
911,49327.0
912,48517.0
913,51766.0
914,50011.0
915,51406.0
916,51370.0
917,49237.0
918,50866.0
919,50380.0
920,50389.0
921,49813.0
922,49669.0
923,48958.0
924,49840.0
925,49291.0
926,49975.0
927,51730.0
928,50344.0
