,Costs
0,49147.0
1,50956.0
2,49264.0
3,48814.0
4,49921.0
5,50965.0
6,50191.0
7,50443.0
8,50668.0
9,48121.0
10,49192.0
11,49498.0
12,48400.0
13,49831.0
14,51073.0
15,50263.0
16,50191.0
17,48760.0
18,49921.0
19,48571.0
20,48832.0
21,49030.0
22,50641.0
23,49768.0
24,48364.0
25,50200.0
26,49912.0
27,48238.0
28,50047.0
29,49147.0
30,51235.0
31,49228.0
32,49147.0
33,47545.0
34,49345.0
35,52045.0
36,49165.0
37,48184.0
38,50029.0
39,50758.0
40,49129.0
41,48328.0
42,49615.0
43,51343.0
44,48868.0
45,51100.0
46,50362.0
47,49921.0
48,49219.0
49,48994.0
50,49165.0
51,52081.0
52,49588.0
53,49030.0
54,47887.0
55,48652.0
56,51118.0
57,51262.0
58,50425.0
59,50290.0
60,49750.0
61,49390.0
62,51244.0
63,51856.0
64,50677.0
65,51334.0
66,50434.0
67,48238.0
68,50119.0
69,47743.0
70,49570.0
71,49903.0
72,49975.0
73,50506.0
74,50272.0
75,50236.0
76,49201.0
77,47689.0
78,48715.0
79,51055.0
80,49489.0
81,50398.0
82,50326.0
83,49615.0
84,48391.0
85,49282.0
86,49498.0
87,50686.0
88,49642.0
89,49048.0
90,49471.0
91,49813.0
92,48463.0
93,49039.0
94,49741.0
95,50389.0
96,50398.0
97,50083.0
98,51442.0
99,49768.0
100,49507.0
101,51127.0
102,50875.0
103,50704.0
104,51001.0
105,50398.0
106,51235.0
107,46618.0
108,48175.0
109,49903.0
110,49804.0
111,47887.0
112,51154.0
113,50137.0
114,50956.0
115,49192.0
116,50470.0
117,50047.0
118,50137.0
119,47914.0
120,48472.0
121,47932.0
122,50704.0
123,50155.0
124,50929.0
125,49714.0
126,49345.0
127,49894.0
128,51478.0
129,50605.0
130,49399.0
131,49471.0
132,50857.0
133,51064.0
134,50209.0
135,50047.0
136,49966.0
137,48895.0
138,52288.0
139,50767.0
140,49669.0
141,49381.0
142,48247.0
143,51289.0
144,50551.0
145,50713.0
146,48769.0
147,48589.0
148,51028.0
149,49471.0
150,49174.0
151,50416.0
152,49948.0
153,53377.0
154,52189.0
155,47959.0
156,50335.0
157,51253.0
158,48967.0
159,51199.0
160,50920.0
161,48922.0
162,50695.0
163,49417.0
164,50227.0
165,50938.0
166,48211.0
167,50866.0
168,52576.0
169,51757.0
170,50110.0
171,50614.0
172,50443.0
173,50920.0
174,49507.0
175,49228.0
176,48094.0
177,49012.0
178,48346.0
179,49759.0
180,49795.0
181,50056.0
182,50641.0
183,50083.0
184,50803.0
185,48562.0
186,49813.0
187,48553.0
188,48859.0
189,52081.0
190,50866.0
191,50326.0
192,50533.0
193,48778.0
194,48706.0
195,51235.0
196,49489.0
197,49696.0
198,48202.0
199,51082.0
200,48832.0
201,48553.0
202,50227.0
203,50686.0
204,49669.0
205,49507.0
206,49714.0
207,49966.0
208,47428.0
209,48247.0
210,47887.0
211,50524.0
212,50056.0
213,50533.0
214,49174.0
215,51253.0
216,49264.0
217,49525.0
218,50173.0
219,49111.0
220,49714.0
221,49075.0
222,50515.0
223,49858.0
224,49471.0
225,49300.0
226,50200.0
227,50722.0
228,49480.0
229,48472.0
230,48886.0
231,49885.0
232,51415.0
233,49003.0
234,48607.0
235,48985.0
236,49939.0
237,50407.0
238,48580.0
239,50110.0
240,50425.0
241,50704.0
242,49759.0
243,52126.0
244,51433.0
245,50479.0
246,49030.0
247,49705.0
248,48544.0
249,52882.0
250,51802.0
251,49885.0
252,49930.0
253,50875.0
254,51766.0
