,Costs
0,78865.0
1,79846.0
2,80008.0
3,77137.0
4,80098.0
5,77803.0
6,78253.0
7,73987.0
8,75355.0
9,73249.0
10,76705.0
11,76453.0
12,77173.0
13,76003.0
14,79441.0
15,76129.0
16,77488.0
17,77614.0
18,77704.0
19,79558.0
20,75337.0
21,76912.0
22,78253.0
23,79216.0
24,79324.0
25,74941.0
26,79297.0
27,74023.0
28,76759.0
29,77398.0
30,78838.0
31,77425.0
32,76858.0
33,77344.0
34,76687.0
35,79486.0
36,77542.0
37,77227.0
38,78766.0
39,79909.0
40,78487.0
41,77758.0
42,75436.0
43,80260.0
44,77389.0
45,77263.0
46,78406.0
47,77272.0
48,78910.0
49,77614.0
50,74329.0
51,77713.0
52,78991.0
53,77668.0
54,75598.0
55,77344.0
56,78280.0
57,75985.0
58,77029.0
59,78217.0
60,78019.0
61,74545.0
62,76885.0
63,76453.0
64,77704.0
65,72898.0
66,79027.0
67,77929.0
68,74617.0
69,78262.0
70,75877.0
71,77551.0
72,78838.0
73,77686.0
74,81295.0
75,75652.0
76,77083.0
77,76354.0
78,76777.0
79,77668.0
80,77173.0
81,77344.0
82,75490.0
83,78982.0
84,79081.0
85,76039.0
86,77947.0
87,77308.0
88,78253.0
89,77308.0
90,79135.0
91,77146.0
92,79522.0
93,76642.0
94,74167.0
95,77488.0
96,76219.0
97,77722.0
98,77650.0
99,72781.0
100,77506.0
101,76138.0
102,78289.0
103,74590.0
104,78118.0
105,74491.0
106,76642.0
107,77434.0
108,77614.0
109,76849.0
110,81448.0
111,78415.0
112,76732.0
113,78055.0
114,76831.0
115,75922.0
116,74572.0
117,77902.0
118,77866.0
119,78217.0
120,78757.0
121,78388.0
122,73564.0
123,74950.0
124,75256.0
125,76516.0
126,77272.0
127,77434.0
128,79981.0
129,76903.0
130,72124.0
131,75904.0
132,80008.0
133,76813.0
134,75103.0
135,75130.0
136,76444.0
137,78964.0
138,77128.0
139,76453.0
140,79315.0
141,76354.0
142,73384.0
143,77920.0
144,76642.0
145,76543.0
146,74392.0
147,79243.0
148,78622.0
149,77056.0
150,78154.0
151,76102.0
152,77650.0
153,78226.0
154,79369.0
155,77362.0
156,74662.0
157,78307.0
158,76885.0
159,78028.0
160,76795.0
161,77839.0
162,77164.0
163,77641.0
164,74230.0
165,79342.0
166,80350.0
167,77272.0
168,79090.0
169,76732.0
170,78811.0
171,78415.0
172,78388.0
173,77704.0
174,79774.0
175,76795.0
176,76246.0
177,76777.0
178,77353.0
179,78604.0
180,79936.0
181,73843.0
182,77272.0
183,81016.0
184,75310.0
185,75274.0
186,79207.0
187,75949.0
188,77416.0
189,75904.0
190,78370.0
191,78523.0
192,78595.0
193,77353.0
194,78451.0
195,77632.0
196,78469.0
197,75679.0
198,78172.0
199,76912.0
200,78073.0
201,76588.0
202,79540.0
203,78280.0
204,77002.0
205,76534.0
206,80251.0
207,77632.0
208,76930.0
209,76795.0
210,77524.0
211,76237.0
212,78892.0
213,78748.0
214,74545.0
215,77497.0
216,76336.0
217,78676.0
218,77731.0
219,80071.0
220,76246.0
221,78784.0
222,76471.0
223,76237.0
224,77407.0
225,77434.0
226,79090.0
