,Costs
0,76849.0
1,77767.0
2,77092.0
3,76219.0
4,79099.0
5,77614.0
6,76183.0
7,77497.0
8,76534.0
9,78829.0
10,78550.0
11,76795.0
12,75022.0
13,76012.0
14,76345.0
15,76480.0
16,75526.0
17,77119.0
18,77497.0
19,74761.0
20,77884.0
21,76147.0
22,77956.0
23,74455.0
24,78370.0
25,77605.0
26,76741.0
27,77947.0
28,78451.0
29,78028.0
30,78343.0
31,74356.0
32,77245.0
33,77983.0
34,78028.0
35,74581.0
36,79297.0
37,79738.0
38,78892.0
39,76723.0
40,78289.0
41,76579.0
42,78289.0
43,75166.0
44,76012.0
45,76660.0
46,76552.0
47,78361.0
48,77011.0
49,76732.0
50,76660.0
51,76669.0
52,76138.0
53,77857.0
54,81313.0
55,79090.0
56,75328.0
57,75490.0
58,77992.0
59,77317.0
60,78955.0
61,78343.0
62,77335.0
63,77569.0
64,78658.0
65,78037.0
66,77353.0
67,78514.0
68,73708.0
69,77353.0
70,75850.0
71,78586.0
72,77641.0
73,77812.0
74,78352.0
75,76570.0
76,76408.0
77,79288.0
78,74995.0
79,76786.0
80,78829.0
81,74095.0
82,77686.0
83,77686.0
84,76723.0
85,78991.0
86,77992.0
87,77254.0
88,74923.0
89,76264.0
90,77965.0
91,75958.0
92,78532.0
93,76435.0
94,79351.0
95,75850.0
96,76777.0
97,76975.0
98,76741.0
99,74005.0
100,78901.0
101,78442.0
102,75319.0
103,76462.0
104,76291.0
105,76138.0
106,78244.0
107,76318.0
108,79756.0
109,75175.0
110,76030.0
111,77767.0
112,74464.0
113,77551.0
114,79783.0
115,78289.0
116,88.4
