,Costs
0,30931
1,31075
2,31390
3,31552
4,31534
5,31714
6,31678
7,31903
8,31993
9,32209
10,32182
11,32308
12,32344
13,32137
14,32101
15,32065
16,32110
17,32443
18,32407
19,32335
20,32434
21,32533
22,32398
23,32371
24,32362
25,32317
26,32200
27,32119
28,32110
29,32245
30,32407
31,32362
32,32407
33,32353
34,32299
35,32281
36,32254
37,32245
38,32227
39,32515
40,32686
41,32740
42,32749
43,32740
44,32722
45,32893
46,32803
47,32749
48,32731
49,32839
50,32992
51,32938
52,32866
53,32902
54,32857
55,32803
56,32857
57,32839
58,32830
59,32803
60,32794
61,32839
62,32785
63,32722
64,32704
65,32758
66,32749
67,32731
68,32713
69,32632
70,32614
71,32605
72,32497
73,32560
74,32551
75,32569
76,32542
77,32488
78,32470
79,32560
80,32551
81,32533
82,32515
83,32488
84,32461
85,32605
86,32704
87,32695
88,32677
89,32830
90,32992
91,32974
92,32965
93,32956
94,32929
95,32911
96,32893
97,32875
98,32848
99,32821
100,32785
101,32749
102,32713
103,32641
104,32623
105,32686
106,32668
107,32659
108,32650
109,32605
110,32506
111,32497
112,32443
113,32389
114,32380
115,32344
116,32335
117,32443
118,32434
119,32389
120,32362
121,32353
122,32326
123,32308
124,32227
125,32173
126,32146
127,32047
128,32029
129,31966
130,31957
131,31930
132,31912
133,31894
134,31831
135,31822
136,31813
137,31804
138,31759
139,31732
140,31723
141,31714
142,31705
143,31615
144,31588
145,31570
146,31561
147,31660
148,31741
149,32038
150,32029
151,32119
152,32110
153,32038
154,32119
155,32083
156,32065
157,32029
158,31993
159,31984
